Date,Time,Minutes,Hours,Total_error,Machine
8/3/18,5:10:00,310,5,187,Fifty-one
9/3/18,4:03:00,243,4,95,Fifty-one
10/3/18,7:23:00,443,7,103,Fifty-one
11/3/18,4:23:00,263,4,143,Fifty-one
12/3/18,2:03:00,123,2,48,Fifty-one
13/3/18,3:40:00,220,4,36,Fifty-one
14/3/18,6:41:00,401,7,139,Fifty-one
15/3/18,2:47:00,167,3,65,Fifty-one
16/3/18,15:49:00,949,16,54,Fifty-one
17/3/18,8:39:00,519,9,124,Fifty-one
18/3/18,5:34:00,334,6,120,Fifty-one
19/3/18,5:27:00,327,5,74,Fifty-one
20/3/18,5:50:00,350,6,212,Fifty-one
21/3/18,5:18:00,318,5,118,Fifty-one
22/3/18,10:07:00,607,10,169,Fifty-one
23/3/18,15:49:00,949,16,69,Fifty-one
24/3/18,8:23,503,8,101,Fifty-one
25/3/18,13:14:00,794,13,102,Fifty-one
26/3/18,9:50:00,590,10,124,Fifty-one
27/3/18,9:13:00,553,9,266,Fifty-one
28/3/18,9:29:00,569,9,153,Fifty-one
29/3/18,9:31:00,571,10,121,Fifty-one
30/3/18,5:55:00,355,6,140,Fifty-one
31/3/18,2:20:00,140,2,32,Fifty-one
1/4/18,18:52:09,1132.15,19,132,Forty-six
2/4/18,6:10:54,370.9,6,198,Forty-six
3/4/18,7:37:00,457,8,161,Forty-six
4/4/18,6:22:00,382,6,300,Forty-six
5/4/18,10:30:00,630,11,302,Forty-six
6/4/18,4:27:00,267,4,0,Forty-six
7/4/18,7:30:00,450,8,286,Forty-six
8/4/18,3:38:00,218,4,123,Forty-six
9/4/18,14:14:00,854,14,128,Forty-six
10/4/18,14:05:00,845,14,71,Forty-six
11/4/18,5:52:00,352,6,245,Forty-six
12/4/18,12:10:00,730,12,217,Forty-six
13/4/18,22:43:10,1363.17,23,114,Forty-six
14/4/18,0:24:52,24.87,0,198,Forty-six
16/4/18,5:08:56,308.93,5,172,Forty-six
17/4/18,4:51:55,291.92,5,287,Forty-six
18/4/18,7:53:26,473.43,8,233,Forty-six
19/4/18,8:27:38,507.63,8,105,Forty-six
20/4/18,7:23:13,443.22,7,212,Forty-six
21/4/18,9:23:00,563,9,210,Forty-six
22/4/18,3:54:16,234.27,4,158,Forty-six
23/4/18,2:30:00,150,3,133,Forty-six
24/4/18,4:42:54,282.9,5,83,Forty-six
25/4/18,2:35:56,155.93,3,196,Forty-six
26/4/18,6:20:36,380.6,6,112,Forty-six
27/4/18,5:35:46,335.77,6,202,Forty-six
28/4/18,11:01:15,661.25,11,223,Forty-six
29/4/18,0:35:48,35.8,1,243,Forty-six
30/4/18,9:45:59,585.98,10,154,Forty-six
1/4/18,18:54,1134,19,155,Forty-seven
2/4/18,8:59,539,9,222,Forty-seven
3/4/18,6:05,365,6,244,Forty-seven
4/4/18,15:36,936,16,184,Forty-seven
5/4/18,6:33,393,7,157,Forty-seven
6/4/18,7:04,424,7,131,Forty-seven
7/4/18,9:04,544,9,133,Forty-seven
8/4/18,3:02,182,3,93,Forty-seven
9/4/18,6:19,379,6,92,Forty-seven
10/4/18,5:16,316,5,67,Forty-seven
11/4/18,8:24,504,8,141,Forty-seven
12/4/18,13:40,820,14,83,Forty-seven
13/4/18,8:36,516,9,105,Forty-seven
14/4/18,5:54:54,354.9,6,141,Forty-seven
16/4/18,8:06,486,8,114,Forty-seven
17/4/18,6:36,396,7,197,Forty-seven
18/4/18,5:05,305,5,142,Forty-seven
19/4/18,15:56,956,16,110,Forty-seven
20/4/18,6:10,370,6,212,Forty-seven
21/4/18,10:03,603,10,194,Forty-seven
22/4/18,5:33,333,6,103,Forty-seven
23/4/18,14:25,865,14,196,Forty-seven
24/4/18,6:52,412,7,165,Forty-seven
25/4/18,9:55,595,10,101,Forty-seven
